hw1,,,,,,,,,
Can we assume that the input for the coins is going to an integer value?,"For the coins question, should we be planning to handle a negative input for amounts, or can we expect all inputs to be positive integers?",,,,,,,,
"After doing some problems, I realized that there are some problems that do not need to be solved using recursion. However, the pre-existing format of the  homework looks like it used ""rec"" in each function. Do we have to try to make each of the functions recursive after we implement the test cases?","So I am facing a conceptual issue and visualizing the answer for the Kudos Question. I understand how to find the permutations for 2 element lists and 3 element lists but I do not understand how to do it for 4 and above. Even for 3, I was unable to use recursion.
This is my progress so far, and I was wondering if I could get any pointers to continue with? Also, are we allowed to use @ operator in the kudos problem?",,,,,,,,
"In the two test cases that are provided to us, why do we not have to provide an expected output for the test? I have provided the example below. 

let test () : bool = not (exists [false; false]);; run_test ""exists all false"" test
"The instructions say that the logic is straightforwards but I still don't understand the explanation. So in order to implement the drag functionality what happens is that a mouse down event is detected. Then since paint.mode is LineStartMode it will store the first point as LineEndMode p. But the mouse hasn't been unclicked yet. How does paint_action know to transition from Mouse_Down to Mouse_Drag and Mouse_Up??

The instructions say ""In LineEndMode (x, y), the behavior in paint_action depends on whether or not the mouse button has been released"" but I don't see how that's the case.","I think I should be storing the x position of the mouse cursor in the value controller. I currently have the following in my handle but I don't know if this is a valid way of doing this. Furthermore the line 
let xpos = fst pos in
gives an error with pos underlined as ""expression is Gctx.gctx -&gt; position but expression of type 'a * 'b expected""

handle = 
 ( fun (g: Gctx.gctx) (e: Gctx.event) -&gt;  (*what do i use the Gctx.gctx for????*)
    let click = Gctx.event_type e in
    let pos = Gctx.event_pos e in
    let xpos = fst pos in
    begin match click with
    (*how do I get the mouse coordinate to add to the int value controller? *)
      | Gctx.MouseDown -&gt; (slider_state.change_value (xpos);)
      | Gctx.MouseDrag -&gt; (slider_state.change_value (xpos);)
               
      | _ -&gt; ()     
    end        
    );
Should I be storing the mouse x coords here and does this account for the dynamic updating when you're trying to drag the slider?",,,,,,,,
"I am done with p4 but have an error in repaint for drawing ellipses. 
When I draw an ellipse, the radius is always a little bigger than expected--the border of the ellipse goes beyond where my mouse position is. 
I think everything else works correctly--just not sure why this is happening.","Hi,
This is what my sliders look like right now. I didn't quite figure out why the color bar is able to go beyond the rect frame. When I was drawing the filled rectangle, the length is dependent on the mouse position so I thought it stop right at the border. Thanks!!
 ",,,,,,,,
"I'm having trouble figuring out how to access the location of the mouse when it is being dragged in the handle function of my slider. I've looked at other posts, and people said to look at checkbox and paint_action, so I looked at those. I tried to use event_pos from paint_action, but that's a function in Gctx, so I cannot access it in Widget (when I try, it says Unbound value event_pos). Any tips for figuring out how to access the mouse location would be much appreciated!","When I begin dragging one of my color sliders and then continue to drag onto the canvas, a line is drawn on the canvas. I've been trying to fix this by changing paint_action at the MouseDown and MouseDrag pattern matches to add a conditional of if the mouse is in the canvas or not when it begins dragging (using Widget.event_within), but I can't figure out where to put this conditional, or even if this is the correct way to be going about this issue.",,,,,,,,
"For my slider, I am stuck on how I can the filled rectangle to stay filled after I move my mouse away from the slider. I was thinking of putting it into the deque of shapes but shapes doesn't have a type of filled rectangle.","My thickness slider works, so the lines will change thickness when I drag a long the slider, but the rectangle within the slider does not move with my mouse. Does this stem form a problem in my widget code?",,,,,,,,
"For the handle in the checkbox widget, how should we check that someone clicked on the checkbox?
Is it by::
         pattern-matching the gctx.event that is passed in, if the event is MouseUp then change the value of the value_controller; for all other events don't do anything","When coding checkbox in widget.ml, how do we access the mutable record fields in make_control which is the second argument of the tuple for the widget itself (first argument of tuple)?",,,,,,,,
"I'm really stuck about how to implement fold.right in list_layout using the pair and ws inputs. I understand that pair is a function, and that it takes in two widgets to produce a new widget containing both of the original widgets. I've tried implementing fold with an anonymous function that takes in two widgets (the x and acc values for the widget list) and calls pair on both x and acc, but I get an type error that the function is expecting type 'a -&gt; 'b. When I try and implement fold without an anonymous function (by just passing in pair as the combine function) I get the same kind of error. Am I just misinterpreting fold_right?","Since we have to create a widget in the process of creating a checkbox, we have to define the functions for repaint, handle, and size.  Should we be calling repaint in handle since that will affect how to draw the checkbox?  I am calling repaint on the widget (in the definition for handle) and it is giving me an error and saying that the name of the widget is an unbound value.  How should I fix that?",,,,,,,,
"I tried using bool list and string list as inputs, giving out a tuple output in widget.ml which didn't give any errors. However, when instantiating radio_button in paint.ml, it keeps throwing out ""expected ('a * 'b) list rather than (widget * bool value_controller) error. Any suggestions on how I can tackle this?","I am super confused about how to make my newly defined checkbox in paint.ml listen to mouseclicks on the widget it contains. I would assume that, given my checkbox (checkbox_label, state), I would call checkbox_label.handle (g) (e), but I'm confused about where I should be getting my graphics context and event.

I've also thought about implementing this listening using state.add_change_listener, but I also am not sure what I would input into this function. ",,,,,,,,
"Is there a way to access the x value of a gctx in widget? I can access the position of an event through tuples. Since gctx is a record, why can't I use g.x (g : Gctx.gctx) to access the x value of the record? Thanks!","How does Gctx.text_size work? Does it only return the size of the string when rendered?

Applied to a hypothetical widget containing a string display and a box, would we then need to define this widget's ""size"" field as(fst (Gctx.text_size str) +  x size of box, max (x size of box, snd(Gctx.text_size str)))?",,,,,,,,
"I'm having trouble with keeping the slider widget filled in once I have slid it a certain amount. When I'm sliding it, the widget gets filled in with a black rectangle, but as soon as I let go, it becomes white again. I have this functionality in my handle function for the widget right now, and I'm not sure if that's the best place to put it?","My slider colors work but the slider itself doesn't slide. Whenever I click it, the filled rectangle goes all the the way off the screen.

I'm pretty sure my widget code is right - could this be because of how I set up things in paint? 
",,,,,,,,
"In my paint.ml, all the references to functions or objects in widget have an error that it is unbound. Why is it doing that when there is no error in widget.ml?","In my paint.ml, all the references to functions or objects in widget have an error that it is unbound. Why is it doing that when there is no error in widget.ml?",,,,,,,,
"i am trying to implement my thickness slider so that when the checkbox isnt checked, the slider is all white, and cant be moved. I am not sure how to implement this. Am I supposed to change repaint and handle in my thickness_slider widget in the paint.ml file? Is this even possible? I have tried doing it but always get type errors. any tips would be much appreciated","I am trying to create the slider widget in the paint file similar to how I did checkbox, but it is saying that my slider function is unbound. I checked to see if I passed in checkbox somewhere else in the files, but it isn't called anywhere other than where the widget is formed.",,,,,,,,
